transaccion_id,fecha,monto_transaccion,estado,tipo,cliente_id,factura_id
TXN001,2024-06-01 10:00:00,38940,Pendiente,Pago de Factura,1,FAC7068
TXN002,2024-07-09 12:00:00,75145,Pendiente,Pago de Factura,2,FAC6577
TXN003,2024-06-13 10:00:00,179217,Fallida,Pago de Factura,3,FAC5707
TXN004,2024-07-26 13:00:00,51767,Fallida,Pago de Factura,4,FAC7188
TXN005,2024-07-28 6:00:00,156501,Completada,Pago de Factura,5,FAC7289
TXN006,2024-07-16 21:00:00,32428,Completada,Pago de Factura,6,FAC2190
TXN007,2024-07-26 22:00:00,75301,Pendiente,Pago de Factura,7,FAC6207
TXN008,2024-06-17 16:00:00,16870,Pendiente,Pago de Factura,8,FAC1691
TXN009,2024-07-10 23:00:00,21794,Fallida,Pago de Factura,9,FAC4680
TXN010,2024-06-19 23:00:00,193307,Completada,Pago de Factura,10,FAC8010
TXN011,2024-06-01 6:00:00,159093,Completada,Pago de Factura,11,FAC1328
TXN012,2024-07-12 19:00:00,174518,Pendiente,Pago de Factura,12,FAC8140
TXN013,2024-07-04 12:00:00,110254,Fallida,Pago de Factura,13,FAC4679
TXN014,2024-07-12 4:00:00,162283,Pendiente,Pago de Factura,14,FAC3589
TXN015,2024-06-21 12:00:00,22161,Pendiente,Pago de Factura,15,FAC6122
TXN016,2024-07-08 12:00:00,195775,Pendiente,Pago de Factura,16,FAC4870
TXN017,2024-06-27 3:00:00,20824,Fallida,Pago de Factura,17,FAC5322
TXN018,2024-07-09 5:00:00,191134,Completada,Pago de Factura,18,FAC8663
TXN019,2024-06-16 20:00:00,62979,Completada,Pago de Factura,19,FAC4380
TXN020,2024-06-08 22:00:00,36472,Fallida,Pago de Factura,20,FAC5128
TXN021,2024-06-16 6:00:00,127881,Completada,Pago de Factura,21,FAC7986
TXN022,2024-07-30 3:00:00,26317,Fallida,Pago de Factura,22,FAC7543
TXN023,2024-07-27 1:00:00,147364,Pendiente,Pago de Factura,23,FAC7964
TXN024,2024-06-26 1:00:00,153404,Pendiente,Pago de Factura,24,FAC1309
TXN025,2024-07-07 10:00:00,14210,Completada,Pago de Factura,25,FAC8025
TXN026,2024-06-08 19:00:00,49012,Completada,Pago de Factura,26,FAC8943
TXN027,2024-06-28 6:00:00,40302,Fallida,Pago de Factura,27,FAC1190
TXN028,2024-07-03 1:00:00,27833,Pendiente,Pago de Factura,28,FAC4264
TXN029,2024-07-29 2:00:00,30313,Fallida,Pago de Factura,29,FAC1462
TXN030,2024-07-26 20:00:00,134884,Fallida,Pago de Factura,30,FAC6381
TXN031,2024-07-03 10:00:00,28982,Completada,Pago de Factura,31,FAC8571
TXN032,2024-06-15 17:00:00,158030,Pendiente,Pago de Factura,32,FAC7018
TXN033,2024-06-24 8:00:00,196009,Fallida,Pago de Factura,33,FAC4082
TXN034,2024-06-22 17:00:00,68526,Pendiente,Pago de Factura,34,FAC5756
TXN035,2024-06-23 12:00:00,165287,Completada,Pago de Factura,35,FAC9278
TXN036,2024-06-28 11:00:00,178265,Fallida,Pago de Factura,36,FAC6223
TXN037,2024-07-23 18:00:00,98069,Completada,Pago de Factura,37,FAC8510
TXN038,2024-07-28 0:00:00,153150,Completada,Pago de Factura,38,FAC4305
TXN039,2024-06-05 12:00:00,86902,Pendiente,Pago de Factura,39,FAC9358
TXN040,2024-06-28 4:00:00,96457,Pendiente,Pago de Factura,40,FAC1208
TXN041,2024-06-07 20:00:00,145586,Fallida,Pago de Factura,41,FAC5492
TXN042,2024-07-15 19:00:00,163425,Fallida,Pago de Factura,42,FAC6585
TXN043,2024-07-26 2:00:00,186218,Pendiente,Pago de Factura,43,FAC2187
TXN044,2024-07-12 1:00:00,159000,Fallida,Pago de Factura,44,FAC7545
TXN045,2024-07-21 21:00:00,94554,Pendiente,Pago de Factura,45,FAC9699
TXN046,2024-07-26 11:00:00,152659,Fallida,Pago de Factura,46,FAC2512
TXN047,2024-06-05 17:00:00,165021,Pendiente,Pago de Factura,47,FAC1330
TXN048,2024-06-10 10:00:00,115066,Completada,Pago de Factura,48,FAC9310
TXN049,2024-06-03 20:00:00,161029,Completada,Pago de Factura,49,FAC9524
TXN050,2024-07-29 3:00:00,167924,Completada,Pago de Factura,50,FAC7938
TXN051,2024-07-24 19:00:00,147991,Pendiente,Pago de Factura,51,FAC8649
TXN052,2024-07-26 11:00:00,124048,Completada,Pago de Factura,52,FAC4348
TXN053,2024-07-13 23:00:00,138162,Completada,Pago de Factura,53,FAC9905
TXN054,2024-06-28 0:00:00,161137,Fallida,Pago de Factura,54,FAC5210
TXN055,2024-06-17 3:00:00,35669,Fallida,Pago de Factura,55,FAC8033
TXN056,2024-07-06 7:00:00,67867,Fallida,Pago de Factura,56,FAC7850
TXN057,2024-07-25 20:00:00,58242,Fallida,Pago de Factura,57,FAC7378
TXN058,2024-06-09 20:00:00,113319,Pendiente,Pago de Factura,58,FAC3104
TXN059,2024-07-11 23:00:00,37708,Completada,Pago de Factura,59,FAC2382
TXN060,2024-07-20 16:00:00,54969,Pendiente,Pago de Factura,60,FAC6022
TXN061,2024-07-08 23:00:00,51411,Completada,Pago de Factura,61,FAC3529
TXN062,2024-07-17 5:00:00,45233,Completada,Pago de Factura,62,FAC1856
TXN063,2024-06-10 1:00:00,99926,Fallida,Pago de Factura,63,FAC5678
TXN064,2024-06-20 12:00:00,31572,Completada,Pago de Factura,64,FAC7474
TXN065,2024-06-14 3:00:00,123720,Pendiente,Pago de Factura,65,FAC9956
TXN066,2024-07-29 14:00:00,17171,Fallida,Pago de Factura,66,FAC7570
TXN067,2024-07-23 9:00:00,56259,Fallida,Pago de Factura,67,FAC2909
TXN068,2024-06-20 22:00:00,196548,Fallida,Pago de Factura,68,FAC2139
TXN069,2024-06-20 18:00:00,93635,Completada,Pago de Factura,69,FAC8752
TXN070,2024-07-15 21:00:00,58585,Completada,Pago de Factura,70,FAC8107
TXN071,2024-06-06 18:00:00,86244,Completada,Pago de Factura,71,FAC7475
TXN072,2024-07-18 20:00:00,55572,Fallida,Pago de Factura,72,FAC3660
TXN073,2024-06-21 6:00:00,50713,Fallida,Pago de Factura,73,FAC9573
TXN074,2024-06-29 18:00:00,129480,Completada,Pago de Factura,74,FAC2238
TXN075,2024-07-03 20:00:00,41657,Completada,Pago de Factura,75,FAC6979
TXN076,2024-06-15 11:00:00,126084,Completada,Pago de Factura,76,FAC8740
TXN077,2024-06-04 7:00:00,190936,Fallida,Pago de Factura,77,FAC9872
TXN078,2024-06-21 21:00:00,78561,Fallida,Pago de Factura,78,FAC9634
TXN079,2024-07-23 11:00:00,162844,Completada,Pago de Factura,79,FAC9210
TXN080,2024-06-29 15:00:00,80235,Fallida,Pago de Factura,80,FAC3888
TXN081,2024-06-18 0:00:00,158138,Pendiente,Pago de Factura,81,FAC7110
TXN082,2024-06-06 15:00:00,101593,Pendiente,Pago de Factura,82,FAC5649
TXN083,2024-06-22 3:00:00,103741,Pendiente,Pago de Factura,83,FAC1490
TXN084,2024-07-04 2:00:00,41300,Pendiente,Pago de Factura,84,FAC5439
TXN085,2024-06-19 11:00:00,89956,Completada,Pago de Factura,85,FAC4962
TXN086,2024-07-13 5:00:00,165402,Completada,Pago de Factura,86,FAC8801
TXN087,2024-07-04 9:00:00,106689,Pendiente,Pago de Factura,87,FAC1904
TXN088,2024-06-14 11:00:00,22411,Completada,Pago de Factura,88,FAC7503
TXN089,2024-06-27 5:00:00,11359,Pendiente,Pago de Factura,89,FAC7561
TXN090,2024-06-08 10:00:00,79808,Pendiente,Pago de Factura,90,FAC5390
TXN091,2024-07-05 21:00:00,42648,Pendiente,Pago de Factura,91,FAC1760
TXN092,2024-06-03 5:00:00,101468,Pendiente,Pago de Factura,92,FAC3395
TXN093,2024-06-21 17:00:00,115488,Pendiente,Pago de Factura,93,FAC1926
TXN094,2024-07-26 0:00:00,61920,Completada,Pago de Factura,94,FAC7521
TXN095,2024-07-23 20:00:00,141510,Fallida,Pago de Factura,95,FAC6693
TXN096,2024-07-08 19:00:00,39792,Pendiente,Pago de Factura,96,FAC1513
TXN097,2024-07-09 5:00:00,87689,Completada,Pago de Factura,97,FAC3039
TXN098,2024-07-06 0:00:00,178739,Fallida,Pago de Factura,98,FAC3709
TXN099,2024-07-27 10:00:00,105611,Fallida,Pago de Factura,99,FAC3914
TXN100,2024-07-11 7:00:00,141787,Fallida,Pago de Factura,100,FAC8875